post_id,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19
110,0.22299564,-0.10597976,0.039388437,0.3817722,-0.05640473,-0.086237796,-0.04109823,-0.037853196,-0.003885999,-0.10967836,0.28569242,-0.003934978,0.07465315,0.44650024,0.01871925,-0.008504726,-0.031209698,-0.091390856,-0.043364435,-0.0223043
3,0.14546227,-0.11648854,-0.015093954,-0.044088323,0.23869291,-0.07268595,0.07044702,-0.12704006,-0.11746296,0.033189394,0.22022213,-0.066426665,0.046703596,-0.06941859,-0.10120133,-0.08898997,0.002026346,-0.04697994,0.15482378,-0.009687152
6,0.088827714,-0.08890998,-0.031390183,-0.076905906,0.21006984,-0.01750058,0.0028818,-0.15769167,0.005672186,-0.17176902,0.15511884,-0.057370164,0.011522629,-0.070958704,-0.17658764,-0.29534686,0.037996676,-0.22054288,-0.08124483,-0.06321944
8,0.06968796,-0.061345365,-0.023866171,0.006958942,0.21606497,-0.12548676,0.09436076,-0.11301123,-0.11458834,0.19818868,0.15121165,-0.03725627,0.050735835,-0.063638076,-0.14318903,-0.05887786,-0.023373123,-0.085729815,0.20856707,0.19261529
9,0.07794105,-0.08069066,-0.028671473,-0.08334836,0.068976775,0.050952893,0.003354264,-0.079818256,0.040023915,0.030010264,0.14864978,-0.048448853,-0.003993021,-0.09042786,-0.006074713,-0.0992521,0.04080714,-0.028391698,-0.027983496,0.0732011
10,0.12617762,-0.082882814,0.004234046,-0.001755646,0.05342926,0.06841829,-0.002974753,-0.07427891,-0.07514528,-0.0279642,0.18959314,-0.010668288,0.050726086,-0.037003595,-0.009891305,-0.12655723,0.07477311,0.02050302,0.08190867,-0.107724816
11,0.13642634,-0.0553301,-0.020523127,0.01777305,0.04966255,0.047070943,0.050468974,-0.094082914,0.09549333,0.0727408,0.19772059,0.033343766,0.020659445,0.02019362,-0.08007782,-0.078632735,0.06914447,0.03873466,-0.020565405,-0.08704191
16,0.13420418,-0.04544725,0.013259579,0.11989448,0.06057731,0.014347014,-0.020751348,-0.045763087,0.10595959,0.00601017,0.17698607,0.094357915,0.056393094,0.104221165,-0.029598337,-0.15930434,0.05637964,-0.002241425,-0.041695006,-0.19510454
18,0.09676652,0.007272874,-0.000948597,0.029738681,0.0680297,-0.09134222,-0.09088925,0.015172818,0.06811397,0.11998823,0.1497082,0.048645917,0.023877652,0.012806979,-0.05366149,-0.1251455,-0.105641514,0.062055755,-0.019267464,-0.07372707
20,0.12481605,-0.09983047,-0.049029022,0.046535935,0.1611055,-0.14806701,-0.019374792,-0.09203558,-0.11547946,0.013574875,0.19571437,-0.038456406,0.013718154,0.018370265,-0.12599303,-0.09753029,-0.122793406,-0.014781153,0.052051432,-0.034008995
21,0.06683101,-0.053967524,-0.038150005,0.01918987,0.19870523,-0.07434131,-0.075496055,-0.2481645,-0.08370718,0.02549464,0.12624949,-0.02461967,0.023584012,-0.053307373,-0.062596485,-0.22967553,0.00611567,-0.13197209,0.05041299,-0.04900581
22,0.07949741,-0.07296726,-0.040046543,-0.032621033,0.13823858,-0.1084992,-0.000774556,-0.05375667,-0.05398936,-0.017636377,0.15209651,-0.04200656,0.006581856,-0.06057067,-0.10329435,-0.059563704,-0.072798595,0.013297645,0.056491636,-0.020789554
23,0.054992992,-0.048322488,-0.03980397,0.012493903,0.1318412,-0.10860562,0.038092624,-0.026090369,0.018748939,0.012675737,0.13024896,-0.025103511,0.04323982,-0.04280806,-0.08998611,-0.007522921,-0.08949595,-0.0711478,0.022159386,0.094138205
26,0.08597548,-0.06795383,-0.029867208,0.09979027,0.11141784,-0.13588557,0.07273558,-0.06647288,-0.08760638,-0.007142585,0.1705295,-0.034608386,0.06256174,0.049007032,-0.12380765,-0.011822496,-0.07947372,-0.106769435,0.1159876,0.020619746
28,0.08048057,-0.0515429,0.008553603,-0.07316455,0.047979474,-0.053485826,-0.10822017,-0.0772714,-0.09804218,0.03502663,0.15762186,-0.01802079,0.056527723,-0.094551064,-0.03102362,-0.08089952,-0.15102866,0.103099905,-0.04963717,-0.07818263
29,0.06362158,-0.05417493,-0.005966788,0.011963655,0.107483156,-0.08672682,0.047915578,-0.11078837,-0.011566236,0.16817856,0.16355431,-0.03994693,0.058171432,-0.064925514,-0.11086932,-0.07092599,-0.041305985,-0.11829474,0.06660154,0.2423289
30,0.06554439,-0.055180352,-0.03249252,0.007431884,0.16675667,-0.13837624,0.05331172,-0.13523327,-0.01826678,0.03629442,0.15799911,-0.037989467,0.005719133,-0.071894474,-0.17244227,-0.032416426,-0.06591835,-0.11669811,-0.032844804,0.060364913
44,0.1071856,-0.07695695,-0.006675114,0.019395312,0.048737198,-0.039856967,0.03370101,-0.11570257,0.06545446,0.011034789,0.24512866,-0.06255541,-0.002764331,-0.013503647,-0.0684546,-0.015382855,0.005989797,-0.11304237,-0.06440869,0.0636373
